State,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population,YEAR
New Jersey (NJ),$911 ,"$1,049 ","$1,276 ","$1,663 ","$1,932 ","8,791,894",2015
New Mexico (NM),$488 ,$555 ,$702 ,$953 ,"$1,084 ","2,059,179",2015
New York (NY),$684 ,$761 ,$940 ,"$1,227 ","$1,368 ","19,378,102",2015
North Carolina (NC),$528 ,$566 ,$707 ,$945 ,"$1,112 ","9,535,483",2015
North Dakota (ND),$496 ,$514 ,$646 ,$898 ,$965 ,"672,591",2015
Ohio (OH),$452 ,$531 ,$682 ,$910 ,$997 ,"11,536,504",2015
Oklahoma (OK),$449 ,$505 ,$650 ,$868 ,$994 ,"3,751,351",2015
Oregon (OR),$515 ,$601 ,$766 ,"$1,086 ","$1,280 ","3,831,074",2015
Pennsylvania (PA),$542 ,$616 ,$766 ,$990 ,"$1,084 ","12,702,379",2015
Puerto Rico (PR),$398 ,$426 ,$517 ,$695 ,$809 ,"3,725,789",2015
Rhode Island (RI),$698 ,$783 ,$965 ,"$1,224 ","$1,471 ","1,052,567",2015
South Carolina (SC),$520 ,$560 ,$694 ,$911 ,"$1,095 ","4,625,364",2015
South Dakota (SD),$477 ,$517 ,$665 ,$926 ,$994 ,"814,180",2015
Tennessee (TN),$448 ,$516 ,$653 ,$874 ,$986 ,"6,346,105",2015
Texas (TX),$495 ,$561 ,$716 ,$968 ,"$1,097 ","25,145,561",2015
Utah (UT),$514 ,$577 ,$715 ,$984 ,"$1,140 ","2,763,885",2015
Vermont (VT),$691 ,$763 ,$965 ,"$1,215 ","$1,464 ","625,741",2015
Virginia (VA),$688 ,$737 ,$895 ,"$1,194 ","$1,441 ","8,001,024",2015
Washington (WA),$543 ,$641 ,$825 ,"$1,141 ","$1,364 ","6,724,540",2015
West Virginia (WV),$490 ,$531 ,$666 ,$879 ,$980 ,"1,852,994",2015
Wisconsin (WI),$464 ,$546 ,$710 ,$950 ,"$1,055 ","5,686,986",2015
Wyoming (WY),$538 ,$580 ,$734 ,"$1,022 ","$1,156 ","563,626",2015
Alabama (AL),$483 ,$518 ,$646 ,$867 ,$993 ,"4,779,736",2016
Alaska (AK),$758 ,$862 ,"$1,081 ","$1,421 ","$1,663 ","710,231",2016
Arizona (AZ),$580 ,$652 ,$822 ,"$1,138 ","$1,323 ","6,392,017",2016
Arkansas (AR),$467 ,$501 ,$645 ,$861 ,$992 ,"2,915,918",2016
California (CA),$799 ,$919 ,"$1,182 ","$1,657 ","$1,930 ","37,253,956",2016
Colorado (CO),$627 ,$694 ,$892 ,"$1,228 ","$1,428 ","5,029,196",2016
Connecticut (CT),$788 ,$967 ,"$1,224 ","$1,554 ","$1,780 ","3,574,097",2016
