Country,Year,Food_Price_Index,Inflation
COL,2022,164.780806314133,164.780806314133
COL,2021,149.559763199866,149.559763199866
COL,2020,144.509087395731,144.509087395731
COL,2019,140.94784969246,140.94784969246
COL,2018,136.151216036968,136.151216036968
COL,2017,131.877630006754,131.877630006754
COL,2016,126.423331457792,126.423331457792
COL,2015,117.588375602645,117.588375602645
COL,2014,111.999775887943,111.999775887943
COL,2013,108.844548877365,108.844548877365
COL,2012,106.692568055712,106.692568055712
COL,2011,103.415033447762,103.415033447762
COL,2010,100.0,100.0
COM,2013,103.623545846485,103.623545846485
COM,2012,108.273766971696,108.273766971696
COM,2011,101.842663007562,101.842663007562
COM,2010,100.0,100.0
COD,2016,133.850926577035,133.850926577035
COD,2015,130.096534344839,130.096534344839
COD,2014,129.135509183589,129.135509183589
COD,2013,127.550012909223,127.550012909223
COD,2012,126.527389319038,126.527389319038
COD,2011,115.316515913949,115.316515913949
COD,2010,100.0,100.0
COG,2023,138.814612802413,138.814612802413
COG,2022,133.089443475834,133.089443475834
COG,2021,129.158575405592,129.158575405592
COG,2020,126.980051354846,126.980051354846
COG,2019,124.740496075729,124.740496075729
COG,2018,122.048027425109,122.048027425109
COG,2017,120.657117555654,120.657117555654
COG,2016,120.116516568787,120.116516568787
COG,2015,116.402619073639,116.402619073639
COG,2014,112.827020267541,112.827020267541
COG,2013,111.807182739123,111.807182739123
COG,2012,106.85793338822,106.85793338822
COG,2011,101.759587042738,101.759587042738
COG,2010,100.0,100.0
CRI,2023,143.695505220117,143.695505220117
CRI,2022,142.944768574546,142.944768574546
CRI,2021,132.020379357515,132.020379357515
CRI,2020,129.77976091938,129.77976091938
CRI,2019,128.845743336848,128.845743336848
CRI,2018,126.20052189975,126.20052189975
CRI,2017,123.458369999913,123.458369999913
CRI,2016,121.483166772673,121.483166772673
CRI,2015,121.50440434597,121.50440434597
CRI,2014,120.53771357375,120.53771357375
CRI,2013,115.325904176069,115.325904176069
CRI,2012,109.592739581609,109.592739581609
CRI,2011,104.877998309707,104.877998309707
CRI,2010,100.0,100.0
CIV,2023,130.764985523184,130.764985523184
CIV,2022,125.269275743533,125.269275743533
CIV,2021,118.991105987766,118.991105987766
CIV,2020,114.313454421135,114.313454421135
CIV,2019,111.606977877028,111.606977877028
CIV,2018,112.856141244189,112.856141244189
CIV,2017,112.451978676858,112.451978676858
CIV,2016,111.685945921178,111.685945921178
CIV,2015,110.884056313105,110.884056313105
CIV,2014,109.513495413212,109.513495413212
CIV,2013,109.024322817415,109.024322817415
CIV,2012,106.281028400716,106.281028400716
CIV,2011,104.912433950525,104.912433950525
CIV,2010,100.0,100.0
HRV,2023,134.878310665712,134.878310665712
HRV,2022,124.955261274159,124.955261274159
HRV,2021,112.795275590551,112.795275590551
HRV,2020,109.985683607731,109.985683607731
HRV,2019,109.815676449535,109.815676449535
HRV,2018,108.974588403722,108.974588403722
HRV,2017,107.363994273443,107.363994273443
HRV,2016,106.164996420902,106.164996420902
HRV,2015,107.372942018611,107.372942018611
HRV,2014,107.874015748031,107.874015748031
HRV,2013,108.106657122405,108.106657122405
HRV,2012,105.762347888332,105.762347888332
HRV,2011,102.272727272727,102.272727272727
HRV,2010,100.0,100.0
CUW,2019,115.533202128435,115.533202128435
CUW,2018,112.58109191632,112.58109191632
CUW,2017,109.745608280487,109.745608280487
CUW,2016,108.032655441358,108.032655441358
CUW,2015,108.083679568482,108.083679568482
CUW,2014,108.601210000729,108.601210000729
CUW,2013,106.997594576864,106.997594576864
CUW,2012,105.590786500474,105.590786500474
CUW,2011,102.332531525622,102.332531525622
CUW,2010,100.0,100.0
CYP,2023,117.114122395083,117.114122395083
CYP,2022,113.108561527348,113.108561527348
CYP,2021,104.348039621067,104.348039621067
CYP,2020,101.856538374448,101.856538374448
CYP,2019,102.510991917283,102.510991917283
CYP,2018,102.254975116847,102.254975116847
CYP,2017,100.807886777964,100.807886777964
CYP,2016,100.274659733349,100.274659733349
CYP,2015,101.728529974231,101.728529974231
CYP,2014,103.907467160884,103.907467160884
CYP,2013,105.334741163527,105.334741163527
CYP,2012,105.757090221733,105.757090221733
